SEXE;REG_NAF;TR_ANC;NB_POSTES;REMU_TOT_ANNU
F;09_H;E;383631;35600
F;10_I;E;332944;23732
F;11_J;E;257737;51575
F;12_K;E;438794;52550
F;13_L;E;103348;38250
F;14_M;E;530051;47060
F;15_N;E;898825;25802
F;17_O;E;199798;34131
F;18_P;E;36809;29063
F;19_Q;E;1333563;26848
F;20_R;E;85048;31476
F;21_S;E;152552;27571
H;04_BDE;E;264653;47484
H;05_C;E;1828159;45686
H;06_F;E;880977;37414
H;08_G;E;1312588;39550
H;09_H;E;905409;37125
H;10_I;E;344128;28233
H;11_J;E;533584;59640
H;12_K;E;302013;78623
H;13_L;E;76725;46670
H;14_M;E;642003;58747
H;15_N;E;922173;32145
H;17_O;E;46347;39520
H;18_P;E;30353;34423
H;19_Q;E;379215;29039
H;20_R;E;101018;47637
H;21_S;E;118268;33350
E;04_BDE;00-05;160382;38866
E;04_BDE;06-09;33836;54858
E;04_BDE;10-14;53854;55170
E;04_BDE;15-19;42026;60239
E;04_BDE;20-29;30244;51051
E;04_BDE;30+;19704;54553
E;05_C;00-05;1000335;35433
E;05_C;06-09;292997;45565
E;05_C;10-14;274184;54347
E;05_C;15-19;247188;50667
E;05_C;20-29;404651;49001
E;05_C;30+;250585;51697
E;06_F;00-05;522684;32853
E;06_F;06-09;114041;41419
E;06_F;10-14;145222;40131
E;06_F;15-19;80551;44937
E;06_F;20-29;68753;49176
E;06_F;30+;51983;44731
E;08_G;00-05;1412062;30447
E;08_G;06-09;263341;41182
E;08_G;10-14;218724;44985
E;08_G;15-19;187370;42607
E;08_G;20-29;269175;41169
E;08_G;30+;89394;50036
E;09_H;00-05;472058;30590
E;09_H;06-09;145450;34385
E;09_H;10-14;170859;37436
E;09_H;15-19;151487;41987
E;09_H;20-29;234418;42661
E;09_H;30+;114768;45660
E;10_I;00-05;519987;23027
E;10_I;06-09;53018;33433
E;10_I;10-14;36727;36573
E;10_I;15-19;27740;33778
E;10_I;20-29;27777;38433
E;10_I;30+;11823;44188
E;11_J;00-05;462235;50204
E;11_J;06-09;87028;58078
E;11_J;10-14;72684;65343
E;11_J;15-19;46870;67049
E;11_J;20-29;82775;72101
E;11_J;30+;39729;75405
E;12_K;00-05;332210;54046
E;12_K;06-09;89138;67089
E;12_K;10-14;103473;68214
E;12_K;15-19;75034;75228
E;12_K;20-29;83039;69790
E;12_K;30+;57914;75467
E;13_L;00-05;90856;36850
E;13_L;06-09;23814;43979
E;13_L;10-14;16778;46699
E;13_L;15-19;19236;49215
E;13_L;20-29;20186;45862
E;13_L;30+;9204;52368
E;14_M;00-05;712400;45806
E;14_M;06-09;145572;57785
E;14_M;10-14;116214;59966
E;14_M;15-19;76028;66090
E;14_M;20-29;82426;71050
E;14_M;30+;39414;96697
E;15_N;00-05;1301282;26894
E;15_N;06-09;182750;31258
E;15_N;10-14;143177;33284
E;15_N;15-19;93150;33431
E;15_N;20-29;69035;42810
E;15_N;30+;31604;40663
E;17_O;00-05;77205;30024
E;17_O;06-09;29485;30446
E;17_O;10-14;31565;33929
E;17_O;15-19;40734;35292
E;17_O;20-29;47276;41376
E;17_O;30+;19880;48809
E;18_P;00-05;38431;28387
E;18_P;06-09;7127;29367
E;18_P;10-14;7317;40183
E;18_P;15-19;7697;27271
E;18_P;20-29;3065;45886
E;18_P;30+;3525;48158
E;19_Q;00-05;961287;25854
E;19_Q;06-09;230265;27233
E;19_Q;10-14;217181;26809
E;19_Q;15-19;143818;29208
E;19_Q;20-29;109350;33294
E;19_Q;30+;50877;39769
E;20_R;00-05;113845;34159
E;20_R;06-09;17916;41926
E;20_R;10-14;18941;40878
E;20_R;15-19;16656;41868
E;20_R;20-29;13072;81401
E;20_R;30+;5637;56244
E;21_S;00-05;161004;26066
E;21_S;06-09;29749;27657
E;21_S;10-14;29722;42021
E;21_S;15-19;23298;39435
E;21_S;20-29;19702;32755
E;21_S;30+;7345;43401
E;04_BDE;E;340045;47679
E;05_C;E;2469940;44127
E;06_F;E;983233;37688
E;08_G;E;2440067;35768
E;09_H;E;1289040;36678
E;10_I;E;677072;26020
E;11_J;E;791321;57014
E;12_K;E;740808;63179
E;13_L;E;180073;41836
E;14_M;E;1172054;53458
E;15_N;E;1820998;29012
E;17_O;E;246145;35146
E;18_P;E;67162;31485
E;19_Q;E;1712778;27331
E;20_R;E;186066;40242
E;21_S;E;270820;30096
