SEXE;REG_NAF;TR_AGE;NB_POSTES;REMU_TOT_ANNU
F;15_N;E;898825;25802
F;17_O;E;199798;34131
F;18_P;E;36809;29063
F;19_Q;E;1333563;26848
F;20_R;E;85048;31476
F;21_S;E;152552;27571
H;04_BDE;E;264653;47484
H;05_C;E;1828159;45686
H;06_F;E;880977;37414
H;08_G;E;1312588;39550
H;09_H;E;905409;37125
H;10_I;E;344128;28233
H;11_J;E;533584;59640
H;12_K;E;302013;78623
H;13_L;E;76725;46670
H;14_M;E;642003;58747
H;15_N;E;922173;32145
H;17_O;E;46347;39520
H;18_P;E;30353;34423
H;19_Q;E;379215;29039
H;20_R;E;101018;47637
H;21_S;E;118268;33350
E;04_BDE;00-29;60683;30849
E;04_BDE;30-39;90315;49472
E;04_BDE;40-49;86189;51624
E;04_BDE;50-59;91083;51387
E;04_BDE;60+;11776;63150
E;05_C;00-29;399459;26962
E;05_C;30-39;514875;40617
E;05_C;40-49;660646;47296
E;05_C;50-59;750856;47077
E;05_C;60+;144104;74508
E;06_F;00-29;211125;27232
E;06_F;30-39;252565;37451
E;06_F;40-49;257084;41262
E;06_F;50-59;197023;42957
E;06_F;60+;65436;42603
E;08_G;00-29;722199;22723
E;08_G;30-39;534435;37043
E;08_G;40-49;547828;41220
E;08_G;50-59;503476;45300
E;08_G;60+;132129;43469
E;09_H;00-29;161416;26904
E;09_H;30-39;281620;34637
E;09_H;40-49;400272;38186
E;09_H;50-59;344608;40701
E;09_H;60+;101124;38905
E;10_I;00-29;327094;18501
E;10_I;30-39;115807;31107
E;10_I;40-49;90051;35344
E;10_I;50-59;110967;33333
E;10_I;60+;33153;32642
E;11_J;00-29;179353;37957
E;11_J;30-39;262717;52270
E;11_J;40-49;167903;65159
E;11_J;50-59;133914;70778
E;11_J;60+;47433;87660
E;12_K;00-29;133945;37031
E;12_K;30-39;219057;52887
E;12_K;40-49;192989;73446
E;12_K;50-59;141243;80139
E;12_K;60+;53573;88947
E;13_L;00-29;31224;28024
E;13_L;30-39;37483;40977
E;13_L;40-49;51089;44605
E;13_L;50-59;44755;48848
E;13_L;60+;15522;42388
E;14_M;00-29;282040;34085
E;14_M;30-39;359121;52715
E;14_M;40-49;256348;60826
E;14_M;50-59;214897;62459
E;14_M;60+;59648;85643
E;15_N;00-29;369738;25740
E;15_N;30-39;423258;31560
E;15_N;40-49;471746;29627
E;15_N;50-59;407606;29176
E;15_N;60+;148651;27516
E;17_O;00-29;23651;27554
E;17_O;30-39;55279;29646
E;17_O;40-49;92510;35571
E;17_O;50-59;61199;38907
E;17_O;60+;13507;50968
E;18_P;00-29;14538;23413
E;18_P;30-39;14778;31154
E;18_P;40-49;16248;34817
E;18_P;50-59;11004;34604
E;18_P;60+;10595;34681
E;19_Q;00-29;279385;23648
E;19_Q;30-39;459963;26980
E;19_Q;40-49;394834;27781
E;19_Q;50-59;408909;27744
E;19_Q;60+;169687;32298
E;20_R;00-29;66011;24793
E;20_R;30-39;38501;40229
E;20_R;40-49;33575;49781
E;20_R;50-59;34151;47147
E;20_R;60+;13828;73891
E;21_S;00-29;56239;22249
E;21_S;30-39;57956;35331
E;21_S;40-49;51598;34792
E;21_S;50-59;74085;30616
E;21_S;60+;30941;25481
E;04_BDE;E;340045;47679
E;05_C;E;2469940;44127
E;06_F;E;983233;37688
E;08_G;E;2440067;35768
E;09_H;E;1289040;36678
E;10_I;E;677072;26020
E;11_J;E;791321;57014
E;12_K;E;740808;63179
E;13_L;E;180073;41836
E;14_M;E;1172054;53458
E;15_N;E;1820998;29012
E;17_O;E;246145;35146
E;18_P;E;67162;31485
E;19_Q;E;1712778;27331
E;20_R;E;186066;40242
E;21_S;E;270820;30096
