SEXE,REG_NAF,data_type,category,NB_POSTES,REMU_TOT_ANNU
E,20_R,age,E,186066,40242
E,21_S,age,E,270820,30096
F,01_B_S,anciennete,00-05,3711970,29960
F,01_B_S,anciennete,06-09,758616,35409
F,01_B_S,anciennete,10-14,698392,38531
F,01_B_S,anciennete,15-19,577587,39689
F,01_B_S,anciennete,20-29,643000,42070
F,01_B_S,anciennete,30+,310443,45831
H,01_B_S,anciennete,00-05,4626291,35783
H,01_B_S,anciennete,06-09,986912,46460
H,01_B_S,anciennete,10-14,958230,50023
H,01_B_S,anciennete,15-19,701294,51877
H,01_B_S,anciennete,20-29,921943,52957
H,01_B_S,anciennete,30+,492943,59119
F,01_B_S,anciennete,E,6700009,34195
H,01_B_S,anciennete,E,8687613,42996
E,01_B_S,anciennete,00-05,8338261,33194
E,01_B_S,anciennete,06-09,1745528,41649
E,01_B_S,anciennete,10-14,1656622,45174
E,01_B_S,anciennete,15-19,1278882,46367
E,01_B_S,anciennete,20-29,1564944,48489
E,01_B_S,anciennete,30+,803385,54021
E,01_B_S,anciennete,E,15387622,39166
F,02_B_N,anciennete,00-05,2765495,31465
F,02_B_N,anciennete,06-09,502739,39902
F,02_B_N,anciennete,10-14,476622,42893
F,02_B_N,anciennete,15-19,403544,43745
F,02_B_N,anciennete,20-29,499353,44016
F,02_B_N,anciennete,30+,244486,47021
H,02_B_N,anciennete,00-05,4220994,36345
H,02_B_N,anciennete,06-09,928248,47083
H,02_B_N,anciennete,10-14,875274,51593
H,02_B_N,anciennete,15-19,643137,53165
H,02_B_N,anciennete,20-29,873125,53213
H,02_B_N,anciennete,30+,471635,59553
F,02_B_N,anciennete,E,4892238,36505
H,02_B_N,anciennete,E,8012413,43792
E,02_B_N,anciennete,00-05,6986489,34417
E,02_B_N,anciennete,06-09,1430986,44555
E,02_B_N,anciennete,10-14,1351896,48525
E,02_B_N,anciennete,15-19,1046681,49529
E,02_B_N,anciennete,20-29,1372478,49875
E,02_B_N,anciennete,30+,716121,55325
E,02_B_N,anciennete,E,12904651,41034
F,03_B_E,anciennete,00-05,314536,34753
F,03_B_E,anciennete,06-09,77510,43976
F,03_B_E,anciennete,10-14,89585,46080
F,03_B_E,anciennete,15-19,65579,50179
F,03_B_E,anciennete,20-29,103271,45448
F,03_B_E,anciennete,30+,66692,39952
F,07_G_N,anciennete,00-05,2393049,30955
F,07_G_N,anciennete,06-09,409474,39068
F,07_G_N,anciennete,10-14,373320,41948
F,07_G_N,anciennete,15-19,330817,42502
F,07_G_N,anciennete,20-29,390668,43374
F,07_G_N,anciennete,30+,175482,49634
F,16_O_S,anciennete,00-05,946474,25586
F,16_O_S,anciennete,06-09,255878,26584
F,16_O_S,anciennete,10-14,221771,29150
F,16_O_S,anciennete,15-19,174043,30291
F,16_O_S,anciennete,20-29,143648,35368
F,16_O_S,anciennete,30+,65957,41561
H,03_B_E,anciennete,00-05,846180,36335
H,03_B_E,anciennete,06-09,249323,47340
H,03_B_E,anciennete,10-14,238453,57645
H,03_B_E,anciennete,15-19,223635,52611
H,03_B_E,anciennete,20-29,331624,50297
H,03_B_E,anciennete,30+,203597,55816
H,07_G_N,anciennete,00-05,2910040,36938
H,07_G_N,anciennete,06-09,580638,47934
H,07_G_N,anciennete,10-14,505316,51933
H,07_G_N,anciennete,15-19,346100,55213
H,07_G_N,anciennete,20-29,478163,55937
H,07_G_N,anciennete,30+,218367,66728
H,16_O_S,anciennete,00-05,405297,29938
H,16_O_S,anciennete,06-09,58664,36632
H,16_O_S,anciennete,10-14,82956,33208
H,16_O_S,anciennete,15-19,58158,37696
H,16_O_S,anciennete,20-29,48818,48386
H,16_O_S,anciennete,30+,21307,49653
F,03_B_E,anciennete,E,717173,40604
F,07_G_N,anciennete,E,4072809,35690
F,16_O_S,anciennete,E,1807771,27977
H,03_B_E,anciennete,E,2092812,45914
H,07_G_N,anciennete,E,5038624,44024
H,16_O_S,anciennete,E,675200,33546
E,03_B_E,anciennete,00-05,1160716,35907
E,03_B_E,anciennete,06-09,326833,46535
E,03_B_E,anciennete,10-14,328037,54483
E,03_B_E,anciennete,15-19,289214,52059
E,03_B_E,anciennete,20-29,434895,49144
E,03_B_E,anciennete,30+,270289,51906
E,07_G_N,anciennete,00-05,5303089,34244
E,07_G_N,anciennete,06-09,990112,44267
E,07_G_N,anciennete,10-14,878636,47691
E,07_G_N,anciennete,15-19,676916,48990
E,07_G_N,anciennete,20-29,868830,50300
E,07_G_N,anciennete,30+,393849,59183
E,16_O_S,anciennete,00-05,1351772,26889
E,16_O_S,anciennete,06-09,314542,28458
E,16_O_S,anciennete,10-14,304727,30243
E,16_O_S,anciennete,15-19,232201,32147
E,16_O_S,anciennete,20-29,192466,38664
E,16_O_S,anciennete,30+,87264,43537
E,03_B_E,anciennete,E,2809986,44558
E,07_G_N,anciennete,E,9111433,40305
E,16_O_S,anciennete,E,2482971,29489
F,04_BDE,anciennete,00-05,37878,40062
F,04_BDE,anciennete,06-09,5822,56683
F,04_BDE,anciennete,10-14,15209,53823
F,04_BDE,anciennete,15-19,10096,62237
F,04_BDE,anciennete,20-29,5210,54447
F,04_BDE,anciennete,30+,1177,56575
F,05_C,anciennete,00-05,276658,34029
F,05_C,anciennete,06-09,71688,42944
F,05_C,anciennete,10-14,74376,44494
F,05_C,anciennete,15-19,55483,47985
F,05_C,anciennete,20-29,98061,44970
F,05_C,anciennete,30+,65515,39652
F,06_F,anciennete,00-05,57910,34622
F,06_F,anciennete,06-09,15755,41518
F,06_F,anciennete,10-14,13717,47799
F,06_F,anciennete,15-19,7148,42118
F,06_F,anciennete,20-29,5413,62487
F,06_F,anciennete,30+,2312,60593
F,08_G,anciennete,00-05,640488,27813
F,08_G,anciennete,06-09,118221,33621
F,08_G,anciennete,10-14,97675,37177
F,08_G,anciennete,15-19,106135,35199
F,08_G,anciennete,20-29,127428,35858
F,08_G,anciennete,30+,37533,41432
F,09_H,anciennete,00-05,129988,31023
F,09_H,anciennete,06-09,31064,34651
F,09_H,anciennete,10-14,41639,34149
F,09_H,anciennete,15-19,55694,37154
F,09_H,anciennete,20-29,84883,40674
F,09_H,anciennete,30+,40363,41237
F,10_I,anciennete,00-05,254606,21215
F,10_I,anciennete,06-09,27767,30417
F,10_I,anciennete,10-14,15736,35679
F,10_I,anciennete,15-19,13839,30431
F,10_I,anciennete,20-29,14628,30840
F,10_I,anciennete,30+,6367,34801
F,11_J,anciennete,00-05,149852,46162
F,11_J,anciennete,06-09,28163,53132
F,11_J,anciennete,10-14,19515,62391
F,11_J,anciennete,15-19,12559,67350
F,11_J,anciennete,20-29,32586,58049
F,11_J,anciennete,30+,15062,61395
F,12_K,anciennete,00-05,195343,46212
F,12_K,anciennete,06-09,43061,56970
F,12_K,anciennete,10-14,66198,52908
F,12_K,anciennete,15-19,47853,61887
F,12_K,anciennete,20-29,50635,56321
F,12_K,anciennete,30+,35706,63385
F,13_L,anciennete,00-05,54001,33197
F,13_L,anciennete,06-09,15290,39514
F,13_L,anciennete,10-14,9907,41340
F,13_L,anciennete,15-19,9467,49810
