SEXE;REG_NAF;CITP;NB_POSTES;REMU_TOT_ANNU
F;08_G;E;1127479;31322
F;09_H;E;383631;35600
F;10_I;E;332944;23732
F;11_J;E;257737;51575
F;12_K;E;438794;52550
F;13_L;E;103348;38250
F;14_M;E;530051;47060
F;15_N;E;898825;25802
F;17_O;E;199798;34131
F;18_P;E;36809;29063
F;19_Q;E;1333563;26848
F;20_R;E;85048;31476
F;21_S;E;152552;27571
H;04_BDE;E;264653;47484
H;05_C;E;1828159;45686
H;06_F;E;880977;37414
H;08_G;E;1312588;39550
H;09_H;E;905409;37125
H;10_I;E;344128;28233
H;11_J;E;533584;59640
H;12_K;E;302013;78623
H;13_L;E;76725;46670
H;14_M;E;642003;58747
H;15_N;E;922173;32145
H;17_O;E;46347;39520
H;18_P;E;30353;34423
H;19_Q;E;379215;29039
H;20_R;E;101018;47637
H;21_S;E;118268;33350
E;04_BDE;1;25976;81622
E;04_BDE;2;65732;69127
E;04_BDE;3;134035;43086
E;04_BDE;4;17434;29849
E;04_BDE;5;431;36866
E;04_BDE;6;15539;35429
E;04_BDE;8;44169;40581
E;04_BDE;9;36730;24252
E;05_C;1;217082;88874
E;05_C;2;334044;70407
E;05_C;3;545332;43519
E;05_C;4;135185;31962
E;05_C;5;56943;23278
E;05_C;6;412554;30527
E;05_C;8;607714;32334
E;05_C;9;161086;28069
E;06_F;1;82251;70021
E;06_F;2;52524;60197
E;06_F;3;230995;40527
E;06_F;4;57975;29715
E;06_F;5;2923;29012
E;06_F;6;364402;32364
E;06_F;8;63521;35032
E;06_F;9;128642;22764
E;08_G;1;305176;77413
E;08_G;2;94349;66824
E;08_G;3;283699;39747
E;08_G;4;698194;25486
E;08_G;5;680367;25821
E;08_G;6;177768;28621
E;08_G;8;114577;27862
E;08_G;9;85937;26858
E;09_H;1;94692;60026
E;09_H;2;85366;49301
E;09_H;3;213321;42719
E;09_H;4;169852;28889
E;09_H;5;64128;37528
E;09_H;6;69320;30826
E;09_H;8;549950;32067
E;09_H;9;42410;28298
E;10_I;1;31008;59390
E;10_I;2;12006;36492
E;10_I;3;37171;33811
E;10_I;4;75743;31399
E;10_I;5;210005;25295
E;10_I;6;15445;28944
E;10_I;8;13913;23121
E;10_I;9;281781;19965
E;11_J;1;150178;77598
E;11_J;2;407277;62117
E;11_J;3;148231;37468
E;11_J;4;69769;28754
E;11_J;5;10802;38284
E;11_J;6;2613;41809
E;11_J;8;1128;41595
E;11_J;9;1324;25612
E;12_K;1;285580;87505
E;12_K;2;62804;97140
E;12_K;3;272719;42750
E;12_K;4;116252;34079
E;12_K;5;1417;30819
E;12_K;6;79;42491
E;12_K;8;76;45290
E;12_K;9;1881;22005
E;13_L;1;50048;61701
E;13_L;2;6641;60953
E;13_L;3;48754;37123
E;13_L;4;37443;28957
E;13_L;5;22467;31199
E;13_L;6;9281;30903
E;13_L;8;165;44619
E;13_L;9;5274;28060
E;14_M;1;299170;81212
E;14_M;2;362625;60378
E;14_M;3;266891;36892
E;14_M;4;155975;28615
E;14_M;5;19106;26192
E;14_M;6;9998;29828
E;14_M;8;33566;24348
E;14_M;9;24722;23303
E;15_N;1;97500;77486
E;15_N;2;43984;57944
E;15_N;3;173147;37813
E;15_N;4;269901;29165
E;15_N;5;227890;27173
E;15_N;6;96729;32143
E;15_N;8;114515;32319
E;15_N;9;797334;19220
E;17_O;1;49047;48268
E;17_O;2;13762;43752
E;17_O;3;81716;33493
E;17_O;4;97280;29116
E;17_O;5;1045;34054
E;17_O;6;300;31196
E;17_O;8;35;44028
E;17_O;9;2959;22208
E;18_P;1;13213;48487
E;18_P;2;24298;28812
E;18_P;3;9065;36921
E;18_P;4;11506;22584
E;18_P;5;6338;21620
E;18_P;6;280;29056
E;18_P;8;109;23100
E;18_P;9;2351;13457
E;19_Q;1;41512;54163
E;19_Q;2;400314;37509
E;19_Q;3;274678;30155
E;19_Q;4;68021;24071
E;19_Q;5;439788;25476
E;19_Q;6;23403;21313
E;19_Q;8;24438;14946
E;19_Q;9;440623;17201
E;20_R;1;29627;81112
E;20_R;2;22961;42228
E;20_R;3;67107;33278
E;20_R;4;24464;29484
E;20_R;5;20950;27828
E;20_R;6;12392;29178
E;20_R;8;1952;33658
E;20_R;9;6613;23702
E;21_S;1;40025;53761
E;21_S;2;31359;37666
E;21_S;3;53795;29676
E;21_S;4;32412;27319
E;21_S;5;34263;23005
E;21_S;6;12851;25094
E;21_S;8;19439;20836
E;21_S;9;46675;17567
E;04_BDE;E;340045;47679
E;05_C;E;2469940;44127
E;06_F;E;983233;37688
E;08_G;E;2440067;35768
E;09_H;E;1289040;36678
E;10_I;E;677072;26020
E;11_J;E;791321;57014
E;12_K;E;740808;63179
E;13_L;E;180073;41836
E;14_M;E;1172054;53458
E;15_N;E;1820998;29012
E;17_O;E;246145;35146
E;18_P;E;67162;31485
E;19_Q;E;1712778;27331
E;20_R;E;186066;40242
E;21_S;E;270820;30096
F;17_O;8;so;so
