SEXE;REG_NAF;REG;NB_POSTES;REMU_TOT_ANNU
F;17_O;FRD;6771;33094
F;17_O;FRE;11069;31424
F;17_O;FRF;13590;32012
F;17_O;FRG;2455;31913
F;17_O;FRH;4642;34010
F;17_O;FRI;30550;30595
F;17_O;FRJ;30100;31405
F;17_O;FRK;16750;33835
F;17_O;FRL;17390;34828
F;17_O;FRY;5887;39134
F;18_P;FR1;12518;32562
F;18_P;FRB;1513;30504
F;18_P;FRC;1002;39030
F;18_P;FRD;1479;29439
F;18_P;FRE;5438;29613
F;18_P;FRF;1341;29856
F;18_P;FRG;1494;20835
F;18_P;FRH;322;27850
F;18_P;FRI;1269;29604
F;18_P;FRJ;4733;26970
F;18_P;FRK;3366;18663
F;18_P;FRL;2049;26289
F;18_P;FRY;286;36375
F;19_Q;FR1;208904;31392
F;19_Q;FRB;63106;25532
F;19_Q;FRC;45307;23708
F;19_Q;FRD;77517;26987
F;19_Q;FRE;101948;24981
F;19_Q;FRF;140062;24954
F;19_Q;FRG;113101;24650
F;19_Q;FRH;49553;27513
F;19_Q;FRI;129511;25350
F;19_Q;FRJ;114244;28001
F;19_Q;FRK;130680;28171
F;19_Q;FRL;126699;25728
F;19_Q;FRY;32932;25945
F;20_R;FR1;33571;29779
F;20_R;FRB;2319;32606
F;20_R;FRC;1427;19669
F;20_R;FRD;1778;27390
F;20_R;FRE;4123;35044
F;20_R;FRF;7041;41431
F;20_R;FRG;7279;25300
F;20_R;FRH;754;30544
F;20_R;FRI;5125;38753
F;20_R;FRJ;2783;27076
F;20_R;FRK;8979;30495
F;20_R;FRL;8010;31366
F;20_R;FRY;1859;44296
F;21_S;FR1;45915;31548
F;21_S;FRB;4039;26763
F;21_S;FRC;6171;30387
F;21_S;FRD;8319;24588
F;21_S;FRE;10861;23147
F;21_S;FRF;19174;24664
F;21_S;FRG;12360;19133
F;21_S;FRH;3475;33926
F;21_S;FRI;11103;26309
F;21_S;FRJ;4130;31736
F;21_S;FRK;19421;24346
F;21_S;FRL;2853;37894
F;21_S;FRY;4732;36784
H;04_BDE;FR1;60345;53656
H;04_BDE;FRB;8579;36629
H;04_BDE;FRC;15129;40290
H;04_BDE;FRD;6898;56815
H;04_BDE;FRE;25751;49489
H;04_BDE;FRF;22137;50262
H;04_BDE;FRG;8844;40466
H;04_BDE;FRH;5891;47781
H;04_BDE;FRI;7846;43375
H;04_BDE;FRJ;25720;50557
H;04_BDE;FRK;47349;45060
H;04_BDE;FRL;23529;37923
H;04_BDE;FRY;6636;48271
H;05_C;FR1;199517;65789
H;05_C;FRB;83501;41595
H;05_C;FRC;120680;41082
H;05_C;FRD;141916;40002
H;05_C;FRE;164569;43009
H;05_C;FRF;217767;43424
H;05_C;FRG;166474;38212
H;05_C;FRH;120399;34827
H;05_C;FRI;147765;42615
H;05_C;FRJ;106500;45389
H;05_C;FRK;259231;51247
H;05_C;FRL;84643;49076
H;05_C;FRY;15199;40657
H;06_F;FR1;186943;44267
H;06_F;FRB;35575;33610
H;06_F;FRC;29272;36490
H;06_F;FRD;42216;35173
H;06_F;FRE;64632;36152
H;06_F;FRF;55518;36502
H;06_F;FRG;62428;36283
H;06_F;FRH;59428;38759
H;06_F;FRI;53753;37686
H;06_F;FRJ;73398;35428
H;06_F;FRK;119968;34176
H;06_F;FRL;90697;33115
H;06_F;FRY;7150;39195
H;08_G;FR1;305874;52380
H;08_G;FRB;39655;36387
H;08_G;FRC;38608;31158
H;08_G;FRD;60018;31024
H;08_G;FRE;104363;39315
H;08_G;FRF;90762;38381
H;08_G;FRG;80805;37476
H;08_G;FRH;47168;33959
H;08_G;FRI;90189;35914
H;08_G;FRJ;162139;31891
H;08_G;FRK;188947;36246
H;08_G;FRL;64460;40575
H;08_G;FRY;39599;32454
H;09_H;FR1;329377;41904
H;09_H;FRB;26866;37279
H;09_H;FRC;30822;34451
H;09_H;FRD;27788;37014
H;09_H;FRE;111116;28062
H;09_H;FRF;40386;31030
H;09_H;FRG;52752;36309
H;09_H;FRH;36785;31442
H;09_H;FRI;54210;35926
H;09_H;FRJ;58236;38186
H;09_H;FRK;61645;37829
H;09_H;FRL;61577;36908
H;09_H;FRY;13850;36663
H;10_I;FR1;87854;32451
H;10_I;FRB;10907;34951
H;10_I;FRC;20119;17260
H;10_I;FRD;2762;20061
H;10_I;FRE;24581;22817
H;10_I;FRF;22175;29607
H;10_I;FRG;35560;23630
H;10_I;FRH;5079;39686
H;10_I;FRI;19246;33758
H;10_I;FRJ;25731;27597
H;10_I;FRK;70130;22684
H;10_I;FRL;17504;44557
H;10_I;FRY;2481;36549
H;11_J;FR1;249472;69275
H;11_J;FRB;6982;46866
H;11_J;FRC;3818;48357
H;11_J;FRD;6798;53220
H;11_J;FRE;21668;46408
H;11_J;FRF;21535;44486
H;11_J;FRG;33577;53976
H;11_J;FRH;30168;49007
H;11_J;FRI;27274;45646
H;11_J;FRJ;35657;55005
H;11_J;FRK;46876;53069
H;11_J;FRL;43600;55143
H;11_J;FRY;6159;51043
H;12_K;FR1;130400;106797
H;12_K;FRB;5551;56358
H;12_K;FRC;7868;61705
H;12_K;FRD;9982;54271
